Scientific_name,Common_name,Kingdom,Size,Genes,Protein_coding
Homo sapiens,human,Animal,3099,59652,20080
Mus musculus,house mouse,Animal,2728,50763,22198
Danio rerio,zebrafish,Animal,1373,40031,26448
Pleurodeles waltl ,iberian ribbed newt,Animal,20301,13359,13359
Arabidopsis thaliana,thale cress,Plant,119.1,38312,27562
Gossypium hirsutum,cotton,Plant,2305,99456,67585
Oryza sativa,japanese rice,Plant,373.8,35223,28738
Zea mays,maize,Plant,2182,49897,34337
Drosophila melanogaster,fruit fly,Animal,143.7,17872,13962
Caenorhabditis elegans,,Animal,100.3,46927,19984
Saccharomyces cerevisiae,brewer’s yeast,Fungi,12.07,6470,6014
Cryptocccus neoformans,,Fungi,19.05,7004,6632
Methanocaldococcus jannaschii,,Archaea,1.74,1903,1816
Halobacterium salinarum,,Archaea,2.43,2584,2479
Escherichia coli,,Bacteria,4.642,4639,4288
Helicobacter pylori,,Bacteria,1.624,1558,1447
Haemophilus influenzae,,Bacteria,1.846,1834,1700
Yersinia pestis,,Bacteria,4.658,4240,3951
SARS CoV-2 virus,,Virus,0.0299,11,11
Influenza A virus,,Virus,0.01363,12,12
