Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid
Homo sapiens	9606	Homo sapiens	Linnaeus, 1758	SPECIES			human	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hominidae	9604	Homo	9605	Homo sapiens	9606
Mus musculus	10090	Mus musculus	Linnaeus, 1758	SPECIES			house mouse	no	rodents	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Rodentia	9989	Muridae	10066	Mus	10088	Mus musculus	10090
Drosophila melanogaster	7227	Drosophila melanogaster	Meigen, 1830	SPECIES			fruit fly	no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Drosophilidae	7214	Drosophila	7215	Drosophila melanogaster	7227
Danio rerio	7955	Danio rerio	(Hamilton, 1822)	SPECIES	Cyprinus rerio	Hamilton, 1822	zebrafish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cypriniformes	7952	Danionidae	2743709	Danio	7954	Danio rerio	7955
Bubalus bubalis	89462	Bubalus bubalis		SPECIES	Bos bubalis	Linnaeus, 1758	water buffalo	no	even-toed ungulates & whales	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Bovidae	9895	Bubalus	9918	Bubalus bubalis	89462
Helicoverpa armigera	29058	Helicoverpa armigera	(Hubner, 1808)	SPECIES	Noctua armigera	Hübner, 1805	cotton bollworm	no	moths	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Noctuidae	7100	Helicoverpa	7112	Helicoverpa armigera	29058
Pan troglodytes	9598	Pan troglodytes		SPECIES	Simia troglodytes	Linnaeus, 1758	chimpanzee	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hominidae	9604	Pan	9596	Pan troglodytes	9598
Crassostrea virginica	6565	Crassostrea virginica		SPECIES	Ostrea virginica	Gmelin, 1791	eastern oyster	no	bivalves	Eukaryota	2759	Metazoa	33208	Mollusca	6447	Bivalvia	6544	Ostreida	6562	Ostreidae	6563	Crassostrea	6564	Crassostrea virginica	6565
Carassius gibelio	101364	Carassius gibelio	(Bloch, 1782)	SPECIES	Cyprinus gibelio	Bloch, 1782	silver crucian carp	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cypriniformes	7952	Cyprinidae	7953	Carassius	7956	Carassius gibelio	101364
Gorilla gorilla gorilla	9595	Gorilla gorilla gorilla		SUBSPECIES			western lowland gorilla	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hominidae	9604	Gorilla	9592	Gorilla gorilla	9593
Pongo pygmaeus	9600	Pongo pygmaeus		SPECIES	Simia pygmaeus	Linnaeus, 1760	Bornean orangutan	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hominidae	9604	Pongo	9599	Pongo pygmaeus	9600
Aethina tumida	116153	Aethina tumida	Murray, 1867	SPECIES			small hive beetle	no	beetles	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Coleoptera	7041	Nitidulidae	116151	Aethina	116152	Aethina tumida	116153
Mugil cephalus	48193	Mugil cephalus	Linnaeus, 1758	SPECIES			flathead mullet	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Mugiliformes	41872	Mugilidae	8189	Mugil	8190	Mugil cephalus	48193
Symphalangus syndactylus	9590	Symphalangus syndactylus	(Raffles, 1821)	SPECIES	Simia syndactyla	Raffles, 1821	siamang	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hylobatidae	9577	Symphalangus	325166	Symphalangus syndactylus	9590
Amyelois transitella	680683	Amyelois transitella	(Walker, 1863)	SPECIES	Nephopteryx transitella	Walker, 1863		no	moths	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Pyralidae	7135	Amyelois	680682	Amyelois transitella	680683
Bombyx mori	7091	Bombyx mori	Linnaeus, 1758	SPECIES	Phalaena mori	Linnaeus, 1758	domestic silkworm	no	moths	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Bombycidae	7089	Bombyx	7090	Bombyx mori	7091
Oryzias latipes	8090	Oryzias latipes	(Temminck & Schlegel, 1846)	SPECIES	Poecilia latipes	Temminck & Schlegel, 1846	Japanese medaka	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Beloniformes	76071	Adrianichthyidae	47757	Oryzias	8089	Oryzias latipes	8090
Daphnia pulex	6669	Daphnia pulex	Leydig, 1860	SPECIES			common water flea	no	crustaceans	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Branchiopoda	6658	Diplostraca	84337	Daphniidae	77658	Daphnia	6668	Daphnia pulex	6669
