Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_000008865.2	ASM886v2	Escherichia coli O157:H7 str. Sakai	5594605	5417	5155	136
GCF_006094375.1	ASM609437v1	Staphylococcus epidermidis	2491058	2368	2231	53
GCF_019048385.1	ASM1904838v1	Pantoea agglomerans	4692018	4361	4204	43
GCF_014131755.1	ASM1413175v1	Bacteroides thetaiotaomicron	6304193	4875	4713	75
GCF_016026695.1	ASM1602669v1	Lactococcus garvieae	2084337	2110	1981	50
GCF_900560965.1	PPRCHA0	Pseudomonas protegens CHA0	6868303	6270	6146	35
GCF_018223745.1	ASM1822374v1	Clostridium beijerinckii	5950247	5334	5109	77
GCF_003641185.1	ASM364118v1	Lactiplantibacillus pentosus	3671373	3359	3218	48
GCF_003019295.1	ASM301929v1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	2180101	2067	1957	45
GCF_004101845.1	ASM410184v1	Latilactobacillus curvatus JCM 1096 = DSM 20019	1916521	1989	1842	60
GCF_900637025.1	46338_H01	Streptococcus oralis ATCC 35037	1931548	1868	1778	15
GCF_001558415.2	ASM155841v2	Vibrio fluvialis	4827733	4500	4327	30
GCF_020097475.1	ASM2009747v1	Escherichia fergusonii	4645928	4465	4276	74
GCF_034479305.1	ASM3447930v1	Shouchella clausii	4498248	4450	4291	57
GCF_900660465.1	50648_A01-3	Mycoplasmoides pneumoniae	823017	783	689	52
GCF_020546685.1	ASM2054668v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	3279598	3202	3113	27
GCF_017724035.1	ASM1772403v1	Xanthomonas euvesicatoria pv. alfalfae	5120436	4354	4151	111
GCF_900637055.1	46837_E02	Brevibacillus brevis	6726998	6526	6272	81
GCF_019916025.1	ASM1991602v1	Paraclostridium bifermentans	3566216	3530	3365	11
GCF_028885435.1	ASM2888543v1	Mesomycoplasma ovipneumoniae ATCC 29419	1081520	805	762	8
GCF_021278985.1	ASM2127898v1	Citrobacter rodentium NBRC 105723 = DSM 16636	5381137	5161	4796	250
GCF_900475975.1	46931_F01	Streptococcus intermedius	1932951	1921	1777	69
GCF_004792415.1	ASM479241v1	Pantoea vagans	4790329	4433	4292	30
GCF_009831375.1	ASM983137v1	Mediterraneibacter gnavus ATCC 29149	3549191	3556	3416	63
GCF_018314255.1	ASM1831425v1	Lentilactobacillus buchneri	2537205	2463	2351	31
GCF_016028795.1	ASM1602879v1	Macrococcoides caseolyticum	2170973	2320	2218	25
GCF_009662475.1	ASM966247v1	Acidithiobacillus thiooxidans ATCC 19377	3415726	3596	3454	56
GCF_016026735.1	ASM1602673v1	Serratia rubidaea	4995010	4708	4558	30
GCF_012317185.1	ASM1231718v1	[Clostridium] innocuum	4718906	4608	4484	58
GCF_016127195.1	ASM1612719v1	Aeromonas jandaei	4551079	4261	4077	25
GCF_016027095.1	ASM1602709v1	Sphingomonas paucimobilis	4367078	4083	3972	44
GCF_015074805.1	ASM1507480v1	Sphingobium fuliginis	4984172	4714	4584	64
GCF_900474605.1	41594_C01	Enterococcus cecorum	2421598	2453	2300	60
GCF_008801925.2	ASM880192v2	Cupriavidus basilensis	8942610	8191	7904	195
GCF_010508875.1	ASM1050887v1	Flavonifractor plautii	3985392	3967	3815	76
GCF_003660105.1	ASM366010v1	Aliarcobacter cryaerophilus ATCC 43158	2108340	2157	2089	2
GCF_000331185.2	ASM33118v2	Streptomyces rimosus subsp. rimosus ATCC 10970	9643891	8497	8216	189
GCF_008704425.1	ASM870442v1	Streptomyces fradiae ATCC 10745 = DSM 40063	6725579	5785	5573	126
GCF_900537995.1	Roseburia intestinalis strain L1-82	Roseburia intestinalis L1-82	4493348	4193	4014	88
GCF_019668505.1	ASM1966850v1	Borrelia miyamotoi	906165	861	812	12
GCF_008153345.1	ASM815334v1	Treponema phagedenis	3372116	2917	2806	56
GCF_900636915.1	45532_F02	Aggregatibacter aphrophilus ATCC 33389	2337153	2242	2102	59
GCF_020883495.1	ASM2088349v1	Shinella zoogloeoides	4848065	4729	4590	73
GCF_024347355.1	ASM2434735v1	Vibrio chagasii	5569803	5106	4790	132
GCF_003606265.1	ASM360626v1	Clostridium septicum	3404718	3242	3067	51
GCF_008824185.1	ASM882418v1	Paracoccus pantotrophus	4409379	4373	4167	143
GCF_021654455.1	ASM2165445v1	Streptococcus parasuis	2197342	2202	2072	58
GCF_900638215.1	56553_A01	Nocardiopsis dassonvillei	6541269	5592	5479	38
GCF_037113525.1	AgR_BfibD1_NP	Butyrivibrio fibrisolvens	4934347	4205	4108	23
GCF_003015125.1	ASM301512v1	Caulobacter segnis	4655467	4412	4248	104
GCF_020099395.1	ASM2009939v1	Streptomyces mobaraensis	7668063	6725	6474	157
GCF_019930665.1	ASM1993066v1	Bacteroides nordii	5678582	4355	4199	69
GCF_004117055.1	ASM411705v1	Brevibacillus agri	5374818	5326	5014	138
GCF_006364355.1	ASM636435v1	Vibrio furnissii	4993326	4649	4463	42
GCF_010727605.1	ASM1072760v1	Mycobacterium simiae	5788994	5443	5249	141
GCF_900475445.1	42727_F01	Streptococcus cristatus ATCC 51100	2000351	1988	1883	31
