Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_004799605.1	ASM479960v1	Halobacterium salinarum	2429680	2584	2479	52
GCF_000025685.1	ASM2568v1	Haloferax volcanii DS2	4012900	4064	3895	108
GCF_002945325.1	ASM294532v1	Methanococcus maripaludis	1714918	1874	1821	3
GCF_000007345.1	ASM734v1	Methanosarcina acetivorans C2A	5751492	4915	4690	157
GCF_000016525.1	ASM1652v1	Methanobrevibacter smithii ATCC 35061	1853160	1810	1743	22
GCF_008245085.1	ASM824508v1	Pyrococcus furiosus DSM 3638	1889914	2126	2018	40
GCF_000009965.1	ASM996v1	Thermococcus kodakarensis KOD1	2088737	2359	2292	14
GCF_000223905.1	ASM22390v1	Haloarcula hispanica ATCC 33960	3890005	3928	3825	43
GCF_005406325.1	ASM540632v1	Haloferax mediterranei ATCC 33500	3907473	3941	3800	76
GCF_000172995.2	ASM17299v2	Halogeometricum borinquense DSM 11551	3944467	3931	3818	53
GCF_000304355.2	Mb_MS2	Methanoculleus bourgensis MS2	2789774	2681	2622	7
GCF_000022205.1	ASM2220v1	Halorubrum lacusprofundi ATCC 49239	3692576	3670	3517	91
GCF_027554905.1	ASM2755490v1	Methanothermobacter thermautotrophicus	1751429	1861	1806	7
GCF_000196895.1	ASM19689v1	Halalkalicoccus jeotgali B3	3698650	3920	3795	71
GCF_000698785.1	ASM69878v1	Nitrososphaera viennensis EN76	2527938	2993	2935	8
GCF_000091665.1	ASM9166v1	Methanocaldococcus jannaschii DSM 2661	1739927	1903	1816	42
GCF_000018465.1	ASM1846v1	Nitrosopumilus maritimus SCM1	1645259	1973	1924	1
GCF_000195915.1	ASM19591v1	Thermoplasma acidophilum DSM 1728	1564906	1593	1536	6
GCF_000007225.1	ASM722v1	Pyrobaculum aerophilum str. IM2	2222430	2637	2562	26
GCF_000023965.1	ASM2396v1	Halomicrobium mukohataei DSM 12286	3332349	3444	3331	55
GCF_000230715.2	ASM23071v3	Natronobacterium gregoryi SP2	3788356	3758	3587	111
GCF_000017945.1	ASM1794v1	Ignicoccus hospitalis KIN4/I	1297538	1531	1474	4
GCF_000018365.1	ASM1836v1	Thermococcus onnurineus NA1	1847607	2055	1982	21
GCF_000011125.1	ASM1112v1	Aeropyrum pernix K1	1669696	1759	1704	4
GCF_000013445.1	ASM1344v1	Methanospirillum hungatei JF-1	3544738	3416	3323	26
GCF_000024185.1	ASM2418v1	Methanobrevibacter ruminantium M1	2937203	2283	2200	20
GCF_026000775.1	ASM2600077v1	Vulcanisaeta souniana JCM 11219	2432148	2651	2574	27
GCF_000151105.2	ASM15110v2	Thermococcus barophilus MP	2064237	2281	2213	16
GCF_000195935.2	ASM19593v2	Pyrococcus abyssi GE5	1768562	1982	1897	14
GCF_017352095.1	ASM1735209v1	Natrinema longum	3588874	3600	3494	45
GCF_024300825.1	ASM2430082v1	Natronomonas gomsonensis	3652280	3895	3800	36
GCF_003856835.1	ASM385683v1	Haloplanus aerogenes	3503092	3670	3574	37
GCF_001971705.1	ASM197170v1	Natronorubrum daqingense	3835796	3788	3709	25
GCF_002788215.1	ASM278821v1	Halohasta litchfieldiae	3332022	3453	3336	60
GCF_021233435.1	ASM2123343v1	Halobacterium noricense	3316796	3555	3419	82
GCF_000470655.1	HATI1	Halorhabdus tiamatea SARL4B	3146160	3182	3064	66
GCF_027563145.1	ASM2756314v1	Actinarchaeum halophilum	3748090	3799	3712	28
GCF_000214725.1	ASM21472v1	Methanobacterium paludis	2546541	2493	2431	4
GCF_001886955.1	ASM188695v1	Halodesulfurarchaeum formicicum	2085946	2191	2127	13
GCF_001412615.1	ASM141261v1	Pyrodictium delaneyi	2023836	2115	2058	3
GCF_001889405.1	ASM188940v1	Methanohalophilus halophilus	2022959	2095	2026	14
GCF_000517445.1	ASM51744v1	Thermococcus paralvinellae	1957742	2181	2105	24
GCF_002078355.1	ASM207835v1	Ferroplasma acidiphilum	1826943	1851	1793	8
GCF_000875775.1	ASM87577v1	Nitrosopumilus piranensis	1713078	2161	2110	3
GCF_023167465.1	ASM2316746v1	Methanothermobacter tenebrarum	1495190	1674	1616	13
GCF_000970285.1	ASM97028v1	Methanosarcina horonobensis HB-1 = JCM 15518	5018607	4521	4357	95
GCF_000226975.2	ASM22697v3	Halobiforma lacisalsi AJ5	4381543	4294	4143	90
GCF_000230735.2	ASM23073v3	Natrinema pellirubrum DSM 15624	4354100	4365	4158	146
GCF_000025625.1	ASM2562v1	Natrialba magadii ATCC 43099	4443643	4254	4114	77
GCF_018200015.1	ASM1820001v1	Haloarcula sinaiiensis ATCC 33800	4537128	4625	4444	117
GCF_004799645.1	ASM479964v1	Natronorubrum bangense	4382412	4347	4180	84
GCF_019669965.1	ASM1966996v1	Methanoculleus chikugoensis	2622259	2643	2586	4
GCF_000013725.1	ASM1372v1	Methanococcoides burtonii DSM 6242	2575032	2627	2479	83
GCF_000025505.1	ASM2550v1	Ferroglobus placidus DSM 10642	2196266	2616	2551	11
GCF_000223395.1	ASM22339v1	Pyrolobus fumarii 1A	1843267	2007	1951	4
GCF_000011105.1	ASM1110v1	Pyrococcus horikoshii OT3	1738505	1940	1853	17
GCF_000007185.1	ASM718v1	Methanopyrus kandleri AV19	1694969	1824	1775	9
GCF_000591035.1	ASM59103v1	Aeropyrum camini SY1 = JCM 12091	1595994	1682	1626	5
GCF_000008265.1	ASM826v1	Picrophilus oshimae DSM 9789	1545895	1632	1572	8
GCF_000025325.1	ASM2532v1	Haloterrigena turkmenica DSM 5511	5440782	5281	5059	160
GCF_000969885.1	ASM96988v1	Methanosarcina thermophila TM-1	3127379	2801	2705	28
GCF_019175345.1	ASM1917534v1	Saccharolobus shibatae B12	2916875	3159	2968	140
GCF_000148385.1	ASM14838v1	Vulcanisaeta distributa DSM 14429	2374137	2567	2499	18
GCF_000016385.1	ASM1638v1	Pyrobaculum arsenaticum DSM 13514	2121076	2524	2449	26
GCF_000022365.1	ASM2236v1	Thermococcus gammatolerans EJ3	2045438	2227	2166	9
GCF_000253055.1	ASM25305v1	Thermoproteus tenax Kra 1	1841542	2125	2054	22
GCF_000300255.2	ASM30025v2	Candidatus Methanomethylophilus alvi Mx1201	1666795	1677	1613	12
GCF_000145295.1	ASM14529v1	Methanothermobacter marburgensis str. Marburg	1639135	1784	1721	14
GCF_000231015.2	ASM23101v3	Desulfurococcus amylolyticus DSM 16532	1384116	1543	1486	6
