Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_000146045.2	R64	Saccharomyces cerevisiae S288C	12071326	6470	6014	18
GCF_003013715.1	ASM301371v2	[Candida] auris	12249773	5494	5327	4
GCF_003054445.1	ASM305444v1	Pichia kudriavzevii	10812555	5324	5139	
GCF_030384665.1	ASM3038466v1	Lodderomyces elongisporus	16086460	5731	5630	1
GCF_000026945.1	ASM2694v1	Candida dubliniensis CD36	14618422	6093	5859	122
GCF_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802	11913776	5880	5603	4
GCF_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815	12104871	5849	5573	4
GCF_036426115.1	ASM3642611v1	Kwoniella botswanensis	23007246	8705	8614	32
GCF_001640025.1	ASM164002v2	Sugiyamaella lignohabitans	15938258	5341	5128	
GCF_029542785.1	ASM2954278v1	Malassezia japonica	8433779	4373	4315	
GCF_029542925.1	ASM2954292v1	Malassezia vespertilionis	7595203	4022	3964	
GCF_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus	11416521	5574	5098	
GCF_035658355.1	ASM3565835v1	Kwoniella shivajii	22171496	7975	7879	46
GCF_001548555.1	ASM154855v1	Eremothecium sinecaudum	8922523	4970	4528	
GCF_014133895.1	ASM1413389v1	Torulaspora globosa	9281121	5129	4930	1
GCF_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola	19565848	6602	6591	11
GCF_011074865.1	ASM1107486v2	Brettanomyces nanus	10117252	4823	4711	
GCF_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola	20237334	7753	7753	
GCF_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47	50358849	16502	16202	5
GCF_000143535.2	ASM14353v4	Botrytis cinerea B05.10	42630066	11698	11698	
GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	10920159	5151	4941	
GCF_016906535.1	ASM1690653v1	Rhizoctonia solani	40703773	12425	12301	5
GCF_000002515.2	ASM251v1	Kluyveromyces lactis	10689156	5335	5084	
GCF_009556855.1	ASM955685v1	Talaromyces marneffei	28198338	10066	9994	22
GCF_000687475.1	ASM68747v2	Ustilaginoidea virens	37060086	8297	8297	
GCF_026914185.1	ASM2691418v1	Puccinia triticina	122823596	12736	12736	
GCF_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis	37256495	12941	12662	
GCF_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	38744216	9292	9097	3
GCF_011074885.1	ASM1107488v2	Brettanomyces bruxellensis	13150648	5342	5243	
GCF_003290485.1	ASM329048v1	Malassezia restricta	7330907	4544	4406	
GCF_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri	29697343	10518	10331	
GCF_004011695.2	ASM401169v2	Ascochyta rabiei	40846718	11642	11525	12
GCF_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	9095748	5356	4776	3
GCF_034447905.1	ASM3444790v1	Colletotrichum destructivum	51750812	15627	15627	
GCF_020509005.1	Cfulv_R5_v5	Fulvia fulva	67169167	14993	14993	
GCF_023278565.1	ASM2327856v1	Colletotrichum lupini	63407421	18681	18280	
GCF_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis	34318862	13749	13606	
GCF_026873545.1	ASM2687354v1	Fusarium falciforme	53563088	15136	14574	562
GCF_022605165.1	ASM2260516v1	Purpureocillium takamizusanense	35574015	10859	10744	
GCF_036417295.1	ASM3641729v1	Cryptococcus decagattii	17768546	6671	6557	53
GCF_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	36912256	9958	9802	4
GCF_013368755.1	ASM1336875v1	Talaromyces rugulosus	35758560	11971	11901	
GCF_020906515.1	ASM2090651v1	Vanrija pseudolonga	24922244	9775	9473	28
GCF_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	10412516	5246	5038	7
GCF_035610405.1	ASM3561040v1	[Candida] saopauloensis	12068158	5187	4994	
GCF_000002545.3	ASM254v2	Nakaseomyces glabratus	12318245	5458	5212	
GCF_000006445.2	ASM644v2	Debaryomyces hansenii CBS767	12152486	6520	6282	2
GCF_000237345.1	ASM23734v1	Naumovozyma castellii CBS 4309	11219539	5867	5589	
GCF_002079055.1	ASM207905v1	Saccharomyces paradoxus	12021328	5840	5538	
GCF_000026365.1	ASM2636v1	Zygosaccharomyces rouxii	9764635	5323	4991	
GCF_000243375.1	ASM24337v1	Torulaspora delbrueckii	9220678	5174	4970	
