Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_004353.4	879	5039	4	plus	JYalpha	JYalpha	5740846	protein-coding	NM_001110622.3	NP_001104092.2	1009	Dmel_CG45760
NC_004353.4	5829	11765	4	minus	uncharacterized gene	CR32011	3772046	pseudogene				Dmel_CR32011
NC_004353.4	12640	25054	4	minus	uncharacterized gene	CR32010	3772244	pseudogene				Dmel_CR32010
NC_004353.4	27020	31633	4	minus	uncharacterized gene	CR32009	3772156	pseudogene				Dmel_CR32009
NC_004353.4	32478	43778	4	minus	Plexin B	PlexB	43766	protein-coding	NM_079877.4	NP_524616.2	2051	Dmel_CG17245
NC_004353.4	42774	43374	4	plus	antisense RNA:CR45124	asRNA:CR45124	19834809	antisense_RNA	NR_123741.1			Dmel_CR45124
NC_004353.4	44774	46074	4	plus	long non-coding RNA:CR44440	lncRNA:CR44440	19835163	lncRNA	NR_123742.1			Dmel_CR44440
NC_004353.4	47710	57041	4	minus	cubitus interruptus	ci	43767	protein-coding	NM_079878.5	NP_524617.3	1397	Dmel_CG2125
NC_004353.4	56497	63124	4	plus	antisense RNA:CR43957	asRNA:CR43957	14462350	antisense_RNA	NR_073611.1			Dmel_CR43957
NC_004353.4	65225	67207	4	minus	Ribosomal protein S3A	RpS3A	43768	protein-coding	NM_079879.4	NP_524618.1	268	Dmel_CG2168
NC_004353.4	65577	65645	4	minus	snoRNA:CD-24	snoRNA:CD-24	14462351	snoRNA	NR_073613.1			Dmel_CR43712
NC_004353.4	69326	114270	4	plus	pangolin	pan	43769	protein-coding	NM_079880.6	NP_524619.3	751	Dmel_CG34403
NC_004353.4	115074	129849	4	minus	Ankyrin	Ank	43770	protein-coding	NM_175926.3	NP_787122.1	1549	Dmel_CG1651
NC_004353.4	132220	143123	4	plus	anne boleyn	anne	317815	protein-coding	NM_166728.2	NP_726532.1	658	Dmel_CG32000
NC_004353.4	132674	132874	4	minus	long non-coding RNA:CR43956	lncRNA:CR43956	14462352	lncRNA	NR_073614.1			Dmel_CR43956
NC_004353.4	150764	153538	4	plus	uncharacterized protein	CG32006	317817	protein-coding	NM_166734.2	NP_726538.1	443	Dmel_CG32006
NC_004353.4	154654	156060	4	minus	uncharacterized protein, isoform A	CG31997	319064	protein-coding	NM_166735.3	NP_726539.1	148	Dmel_CG31997
NC_004353.4	157575	175639	4	minus	uncharacterized protein, isoform E	CG33978	3885646	protein-coding	NM_001038712.3	NP_001033801.3	2289	Dmel_CG33978
NC_004353.4	175455	175874	4	plus	antisense RNA:CR45198	asRNA:CR45198	19835649	antisense_RNA	NR_123743.1			Dmel_CR45198
NC_004353.4	177348	179389	4	minus	ADP ribosylation factor-like 4	Arl4	43771	protein-coding	NM_143648.3	NP_651905.1	312	Dmel_CG2219
NC_004353.4	180529	182098	4	minus	long non-coding RNA:CR46488	lncRNA:CR46488	54520526	lncRNA	NR_167882.1			Dmel_CR46488
NC_004353.4	184076	193829	4	minus	ATP binding cassette subfamily D member 1	Abcd1	43772	protein-coding	NM_143649.3	NP_651906.1	730	Dmel_CG2316
NC_004353.4	194732	195900	4	plus	long non-coding RNA:CR44441	lncRNA:CR44441	19835575	lncRNA	NR_123744.2			Dmel_CR44441
NC_004353.4	196675	205945	4	minus	uncharacterized protein, isoform A	CG31998	43774	protein-coding	NM_166742.3	NP_726548.1	1459	Dmel_CG31998
NC_004353.4	210224	213165	4	plus	Crk oncogene	Crk	43775	protein-coding	NM_143651.6	NP_651908.1	271	Dmel_CG1587
