Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_002127.1	413	736	pOSAK1	plus	plasmid mobilization	mobA	1789662	protein-coding		NP_052604.1	107	pOSAK1_01
NC_002127.1	971	1351	pOSAK1	minus	hypothetical protein		1789661	protein-coding		NP_052605.1	126	pOSAK1_02
NC_002127.1	1348	2388	pOSAK1	minus	hypothetical protein		1789663	protein-coding		NP_052606.1	346	pOSAK1_03
NC_002128.1	2589	3464	pO157	plus	EtpC	etpC	1789731	protein-coding		NP_052608.1	291	pO157p02
NC_002128.1	3675	5432	pO157	plus	EtpD	etpD	1789733	protein-coding		NP_052609.1	585	pO157p03
NC_002128.1	5432	6937	pO157	plus	EtpE	etpE	1789725	protein-coding		NP_052610.1	501	pO157p04
NC_002128.1	6939	8162	pO157	plus	EtpF	etpF	1789729	protein-coding		NP_052611.1	407	pO157p05
NC_002128.1	8193	8627	pO157	plus	EtpG	etpG	1789711	protein-coding		NP_052612.1	144	pO157p06
NC_002128.1	8624	9178	pO157	plus	EtpH	etpH	1789742	protein-coding		NP_052613.1	184	pO157p07
NC_002128.1	9193	9540	pO157	plus	EtpI	etpI	1789681	protein-coding		NP_052614.1	115	pO157p08
NC_002128.1	9537	10136	pO157	plus	EptJ	etpJ	1789730	protein-coding		NP_052615.1	199	pO157p09
NC_002128.1	10133	11110	pO157	plus	EtpK	etpK	1789734	protein-coding		NP_052616.1	325	pO157p10
NC_002128.1	11473	12321	pO157	plus	EtpL	etpL	1789704	protein-coding		NP_052617.1	282	pO157p11
NC_002128.1	12308	12820	pO157	plus	EtpM	etpM	1789716	protein-coding		NP_052618.1	170	pO157p12
NC_002128.1	12995	13711	pO157	plus	EptN	etpN	1789664	protein-coding		NP_052619.1	238	pO157p13
NC_002128.1	13803	14204	pO157	plus	EptO	etpO	1789743	protein-coding		NP_052620.1	133	pO157p14
NC_002128.1	14347	14688	pO157	plus	hypothetical protein		1789717	protein-coding		NP_052621.1	113	pO157p15
NC_002128.1	14733	15554	pO157	plus	hypothetical protein		1789706	protein-coding		NP_052622.1	273	pO157p16
NC_002128.1	16119	16610	pO157	plus	hemolysin C	hlyC	1789689	protein-coding		NP_052623.1	163	pO157p17
NC_002128.1	16612	19608	pO157	plus	hemolysin A	hlyA	1789686	protein-coding		NP_052624.1	998	pO157p18
NC_002128.1	19658	21778	pO157	plus	hemolysin B	hlyB	1789727	protein-coding		NP_052625.1	706	pO157p19
NC_002128.1	21782	23221	pO157	plus	hemolysin D	hlyD	1789705	protein-coding		NP_052626.1	479	pO157p20
NC_002128.1	23288	23482	pO157	plus	hypothetical protein		2717077	protein-coding		NP_958720.1	64	ECp021.1n
NC_002128.1	23512	23796	pO157	plus	PapX	papX	1789696	protein-coding		NP_052627.1	94	pO157p21
