Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP023154.1	1	1263		plus	ORC1-type DNA replication protein		41711803	protein-coding		WP_011011129.1	420	PFDSM3638_RS00005
NZ_CP023154.1	1263	3104		plus	DNA-directed DNA polymerase II small subunit		41711804	protein-coding		WP_011011130.1	613	PFDSM3638_RS00010
NZ_CP023154.1	3104	6895		plus	DNA polymerase II large subunit		41711805	protein-coding		WP_014835497.1	1263	PFDSM3638_RS00015
NZ_CP023154.1	6947	7579		plus	MBL fold metallo-hydrolase		41711806	protein-coding		WP_011011132.1	210	PFDSM3638_RS00020
NZ_CP023154.1	7590	8267		plus	DNA repair and recombination protein RadB	radB	41711807	protein-coding		WP_014835496.1	225	PFDSM3638_RS00025
NZ_CP023154.1	8264	9673		minus	ribonuclease E/G		41711808	protein-coding		WP_011011134.1	469	PFDSM3638_RS00030
NZ_CP023154.1	9627	10334		minus	hypothetical protein		41711809	protein-coding		WP_014835495.1	235	PFDSM3638_RS00035
NZ_CP023154.1	14577	15917		minus	glycerate kinase		41711810	protein-coding		WP_014835493.1	446	PFDSM3638_RS00040
NZ_CP023154.1	15972	16763		plus	class II glutamine amidotransferase		41711811	protein-coding		WP_011011137.1	263	PFDSM3638_RS00045
NZ_CP023154.1	16744	18105		minus	CCA tRNA nucleotidyltransferase	cca	41711812	protein-coding		WP_011011138.1	453	PFDSM3638_RS00050
NZ_CP023154.1	18310	18864		minus	RNA 2',3'-cyclic phosphodiesterase	thpR	41711813	protein-coding		WP_011011139.1	184	PFDSM3638_RS00055
NZ_CP023154.1	19151	19603		minus	GNAT family N-acetyltransferase		41711814	protein-coding		WP_011011140.1	150	PFDSM3638_RS00060
NZ_CP023154.1	19584	21017		minus	hypothetical protein		41711815	protein-coding		WP_011011141.1	477	PFDSM3638_RS00065
NZ_CP023154.1	20998	22095		minus	DUF1611 domain-containing protein		41711816	protein-coding		WP_011011142.1	365	PFDSM3638_RS00070
NZ_CP023154.1	22098	23000		minus	pyridoxal-phosphate dependent enzyme		41711817	protein-coding		WP_014835492.1	300	PFDSM3638_RS00075
NZ_CP023154.1	23281	23454		plus	hypothetical protein		54853104	protein-coding		WP_014835491.1	57	PFDSM3638_RS10535
NZ_CP023154.1	23500	23784		plus	hypothetical protein		41711819	protein-coding		WP_011011144.1	94	PFDSM3638_RS00085
NZ_CP023154.1	23739	24035		plus	permease		54853105	protein-coding		WP_014835490.1	98	PFDSM3638_RS10540
NZ_CP023154.1	24170	24748		minus	hypothetical protein		41711821	protein-coding		WP_011011146.1	192	PFDSM3638_RS00095
NZ_CP023154.1	24874	25842		plus	ABC transporter ATP-binding protein		41711822	protein-coding		WP_011011147.1	322	PFDSM3638_RS00100
NZ_CP023154.1	25829	26620		plus	ABC transporter permease		41711823	protein-coding		WP_014835489.1	263	PFDSM3638_RS00105
NZ_CP023154.1	26993	28687		minus	hypothetical protein		41711824	protein-coding		WP_011011149.1	564	PFDSM3638_RS00110
NZ_CP023154.1	28684	29274		minus	MBL fold metallo-hydrolase		41711825	protein-coding		WP_011011150.1	196	PFDSM3638_RS00115
NZ_CP023154.1	29317	29778		minus	phosphoribosyltransferase		41711826	protein-coding		WP_011011151.1	153	PFDSM3638_RS00120
NZ_CP023154.1	29803	30378		minus	phosphatase PAP2 family protein		41711827	protein-coding		WP_011011152.1	191	PFDSM3638_RS00125
NZ_CP023154.1	30401	32143		minus	radical SAM protein		41711828	protein-coding		WP_011011153.1	580	PFDSM3638_RS00130
NZ_CP023154.1	32140	32883		minus	amidohydrolase family protein		41711829	protein-coding		WP_011011154.1	247	PFDSM3638_RS00135
NZ_CP023154.1	32948	35401		minus	phosphoenolpyruvate synthase	ppsA	41711830	protein-coding		WP_011011155.1	817	PFDSM3638_RS00140
NZ_CP023154.1	35525	36910		minus	glycosyltransferase family 39 protein		41711831	protein-coding		WP_011011156.1	461	PFDSM3638_RS00145
NZ_CP023154.1	36900	37934		minus	hypothetical protein		41711832	protein-coding		WP_011011157.1	344	PFDSM3638_RS00150
NZ_CP023154.1	37921	38889		minus	oligosaccharide repeat unit polymerase family protein		41711833	protein-coding		WP_011011158.1	322	PFDSM3638_RS00155
NZ_CP023154.1	38889	39557		minus	hypothetical protein		41711834	protein-coding		WP_011011159.1	222	PFDSM3638_RS00160
NZ_CP023154.1	39613	40335		plus	7-cyano-7-deazaguanine synthase QueC	queC	41711835	protein-coding		WP_011011160.1	240	PFDSM3638_RS00165
NZ_CP023154.1	40319	41224		minus	DNA cytosine methyltransferase		41711836	protein-coding		WP_011011161.1	301	PFDSM3638_RS00170
NZ_CP023154.1	41225	41512		minus	DNA-directed RNA polymerase subunit L		41711837	protein-coding		WP_011011162.1	95	PFDSM3638_RS00175
NZ_CP023154.1	41472	42131		minus	DUF2067 family protein		41711838	protein-coding		WP_011011163.1	219	PFDSM3638_RS00180
NZ_CP023154.1	42128	42721		minus	exosome complex RNA-binding protein Csl4		41711839	protein-coding		WP_011011164.1	197	PFDSM3638_RS00185
NZ_CP023154.1	42718	45228		minus	DEAD/DEAH box helicase		41711840	protein-coding		WP_011011165.1	836	PFDSM3638_RS00190
NZ_CP023154.1	45237	45704		minus	Lrp/AsnC family transcriptional regulator		41711841	protein-coding		WP_011011166.1	155	PFDSM3638_RS00195
NZ_CP023154.1	45713	46048		minus	transcriptional regulator		41711842	protein-coding		WP_011011167.1	111	PFDSM3638_RS00200
NZ_CP023154.1	46111	46479		minus	cupin domain-containing protein		41711843	protein-coding		WP_011011168.1	122	PFDSM3638_RS00205
NZ_CP023154.1	46551	48203		plus	DUF4910 domain-containing protein		41711844	protein-coding		WP_014835487.1	550	PFDSM3638_RS00210
NZ_CP023154.1	48196	49254		minus	glycosyltransferase		41711845	protein-coding		WP_014835486.1	352	PFDSM3638_RS00215
NZ_CP023154.1	49289	49972		minus	fibrillarin-like rRNA/tRNA 2'-O-methyltransferase		41711846	protein-coding		WP_011011171.1	227	PFDSM3638_RS00220
NZ_CP023154.1	49978	51186		minus	hypothetical protein		41711847	protein-coding		WP_011011172.1	402	PFDSM3638_RS00225
NZ_CP023154.1	51252	51803		minus	riboflavin synthase		41711848	protein-coding		WP_011011173.1	183	PFDSM3638_RS00230
