Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_000002985.6	WBcel235	Caenorhabditis elegans	100272607	46927	19984	2131
GCF_000001405.40	GRCh38.p14	Homo sapiens	3099441038	59652	20080	17001
GCF_000001635.27	GRCm39	Mus musculus	2728206152	50763	22198	10363
GCF_000001215.4	Release 6 plus ISO1 MT	Drosophila melanogaster	143706478	17872	13962	339
GCF_000002035.6	GRCz11	Danio rerio	1373454788	40031	26448	330
GCF_019923935.1	NDDB_SH_1	Bubalus bubalis	2622444281	37167	21359	3819
GCF_030705265.1	ASM3070526v1	Helicoverpa armigera	355232002	16926	14441	177
GCF_028858775.2	NHGRI_mPanTro3-v2.0_pri	Pan troglodytes	3177739762	41789	22561	7082
GCF_002022765.2	C_virginica-3.0	Crassostrea virginica	684723884	39505	34608	667
GCF_023724105.1	carGib1.2-hapl.c	Carassius gibelio	1583334954	98729	43901	6149
GCF_029281585.2	NHGRI_mGorGor1-v2.0_pri	Gorilla gorilla gorilla	3545834224	41169	22635	7077
GCF_028885625.2	NHGRI_mPonPyg2-v2.0_pri	Pongo pygmaeus	3220935163	37497	22085	7206
GCF_024364675.1	icAetTumi1.1	Aethina tumida	259967705	15157	13131	67
GCF_022458985.1	CIBA_Mcephalus_1.1	Mugil cephalus	634849760	29100	23232	1669
GCF_028878055.2	NHGRI_mSymSyn1-v2.0_pri	Symphalangus syndactylus	3262887708	38417	22101	6353
GCF_032362555.1	ilAmyTran1.1	Amyelois transitella	327376598	14856	13876	184
GCF_030269925.1	ASM3026992v2	Bombyx mori	461688958	18210	13459	83
GCF_002234675.1	ASM223467v1	Oryzias latipes	734040372	26845	22071	188
GCF_021134715.1	ASM2113471v1	Daphnia pulex	133181052	22355	15295	150
GCF_015104395.2	ASM1510439v2	Macrobrachium nipponense	4253862858	32339	24778	1459
GCF_917563875.1	PGI_DIABVI_V3a	Diabrotica virgifera virgifera	2533404242	24968	19526	208
GCF_905220565.1	ilMelCinx1.1	Melitaea cinxia	499397863	17197	13771	355
GCF_024334085.1	ASM2433408v1	Lutzomyia longipalpis	147838017	12045	11238	29
GCF_026914265.1	ASM2691426v1	Mya arenaria	1216068291	44373	36031	1334
GCF_031168955.1	ASM3116895v1	Gadus macrocephalus	555681083	30575	22223	250
GCF_905220415.1	ilColCroc2.1	Colias croceus	324897031	15772	13592	112
GCF_036323735.1	GRCr8	Rattus norvegicus	2849581192	47357	23154	8804
GCF_000003025.6	Sscrofa11.1	Sus scrofa	2501895775	30371	20666	3084
GCF_002263795.3	ARS-UCD2.0	Bos taurus	2770669782	37073	21667	4545
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Gallus gallus	1053315467	25635	18023	198
GCF_011100685.1	UU_Cfam_GSD_1.0	Canis lupus familiaris	2481983352	43286	21175	5441
GCF_003254725.2	ASM325472v2	Canis lupus dingo	2349862946	40364	20775	4660
GCF_003339765.1	Mmul_10	Macaca mulatta	2971314966	40304	21121	6997
GCF_016772045.2	ARS-UI_Ramb_v3.0	Ovis aries	2654047367	35057	21300	3821
GCF_017654675.1	Xenopus_laevis_v10.1	Xenopus laevis	2742451793	44456	34476	1836
GCF_001704415.2	ARS1.2	Capra hircus	2922600443	28911	20572	4142
GCF_003254395.2	Amel_HAv3.1	Apis mellifera	225234541	12398	9935	42
GCF_012559485.2	MFA1912RKSv2	Macaca fascicularis	2800882497	35561	21335	5756
GCF_009806435.1	UM_NZW_1.0	Oryctolagus cuniculus	2841489785	37497	22458	6161
