Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_002819625.1	ASM281962v1	Porcine circovirus 2	1767	2	2	
GCF_004786615.1	ASM478661v1	avian paramyxovirus 1	15186	6	6	
GCF_002745915.1	ASM274591v1	Inovirus M13	6407	10	10	
GCF_002921355.1	ASM292135v1	Enterobacteria phage f1	6407	10	10	
GCF_002921365.1	ASM292136v1	Enterobacteria phage f1	6407	10	10	
GCF_002921685.1	ASM292168v1	Enterobacteria phage f1	6407	10	10	
GCF_008791805.1	ASM879180v1	Suid alphaherpesvirus 1	140377	70	69	
GCF_003024735.1	ASM302473v1	Shrimp white spot syndrome virus	305119	524	524	
GCF_008791745.1	ASM879174v1	Anatid alphaherpesvirus 1	160649	77	77	
GCF_006298365.1	ASM629836v1	Human respirovirus 3	15462	6	6	
GCF_002826225.1	ASM282622v1	Paslahepevirus balayani	7207	3	3	
GCF_023120075.1	ASM2312007v1	Paslahepevirus balayani	7002	3	3	
GCF_023120345.1	ASM2312034v1	Paslahepevirus balayani	6660	3	3	
GCF_018547925.1	ASM1854792v1	Hepatitis delta virus	1687	1	1	
GCF_018547915.1	ASM1854791v1	Hepatitis delta virus	1681	1	1	
GCF_018547935.1	ASM1854793v1	Hepatitis delta virus	1674	1	1	
GCF_018547805.1	ASM1854780v1	Hepatitis delta virus	1673	1	1	
GCF_002889695.1	ASM288969v1	Venezuelan equine encephalitis virus	11447	6	2	
GCF_008767155.1	ASM876715v1	Feline calicivirus	7690	2	2	
GCF_003092915.1	ASM309291v1	Avian orthoreovirus	23593	12	12	
GCF_013088505.1	ASM1308850v1	Bovine viral diarrhea virus 1-SD1	12308	1	1	
GCF_008792745.1	ASM879274v1	Sapovirus Hu/GI/Sapporo/MT-2010/1982	7433	3	3	
GCF_029882485.1	ASM2988248v1	Acanthamoeba castellanii medusavirus	381277	463	461	
GCF_029885805.1	Acanthamoeba castellanii medusavirus stheno	Acanthamoeba castellanii medusavirus	362811	430	429	
GCF_008766995.1	ASM876699v1	Equid alphaherpesvirus 8	149600	80	80	
GCF_018583745.1	ASM1858374v1	Spodoptera exigua multiple nucleopolyhedrovirus	128525	127	127	
GCF_004786315.1	ASM478631v1	Respirovirus muris	15384	6	6	
GCF_024749945.1	ASM2474994v1	Rubella virus	9761	2	2	
GCF_018580245.1	ASM1858024v1	Torque teno virus	3649	4	4	
GCF_018580895.1	ASM1858089v1	Torque teno virus	2810	3	3	
GCF_013086545.1	ASM1308654v1	Heartland virus	11512	4	4	
GCF_006298385.1	ASM629838v1	Mammalian orthoreovirus 3 Dearing	23570	10	10	
GCF_029891415.1	ASM2989141v1	Cotonvirus japonicus	1476527	1309	1306	
GCF_002966405.1	ASM296640v1	Bodo saltans virus	1385869	1207	1207	
GCF_002966375.1	ASM296637v1	Acanthamoeba polyphaga mimivirus	1221932	935	930	
GCF_002924545.1	IIT1_a5assembly	Powai lake megavirus	1208707	996	996	
GCF_004156295.1	ASM415629v1	Moumouvirus australiensis	1098002	908	899	
GCF_002966435.1	ASM296643v1	Moumouvirus goulette	1016844	975	970	
GCF_003057795.1	ASM305779v1	Tetraselmis virus 1	668031	663	653	
GCF_006547245.1	ASM654724v1	Chrysochromulina parva virus	437255	45	45	
GCF_002624965.1	ASM262496v1	Pseudomonas phage Phabio	309157	471	468	
GCF_016811445.1	ASM1681144v1	Klebsiella phage vB_KpM_FBKp24	307210	381	372	
GCF_004340405.1	ASM434040v1	Pseudomonas phage Psa21	305260	428	420	
GCF_008375575.1	ASM837557v1	Pseudomonas phage vB_PaeM_PS119XW	301543	396	389	1
GCF_010702075.1	ASM1070207v1	Klebsiella phage KpLz-2_45	296707	360	354	
GCF_006516655.1	ASM651665v1	Pseudomonas phage vB_PaeM_PA5oct	286783	461	445	
GCF_016759125.1	ASM1675912v1	Erwinia phage pEa_SNUABM_5	267169	352	352	
GCF_020488355.1	ASM2048835v1	Erwinia phage pEa_SNUABM_1	266939	337	337	
GCF_020488365.1	ASM2048836v1	Erwinia phage pEa_SNUABM_16	266838	344	344	
GCF_020488445.1	ASM2048844v1	Erwinia phage pEa_SNUABM_3	266175	339	339	
GCF_020488465.1	ASM2048846v1	Erwinia phage pEa_SNUABM_32	265891	336	336	
GCF_020488175.1	ASM2048817v1	Erwinia phage pEa_SNUABM_7	265635	346	346	
GCF_020488395.1	ASM2048839v1	Erwinia phage pEa_SNUABM_2	265442	336	336	
GCF_904067185.1	vB_KvM-Eowyn_assembly	Klebsiella phage vB_KvM-Eowyn	265389	336	336	
GCF_020488415.1	ASM2048841v1	Erwinia phage pEa_SNUABM_22	265146	342	342	
GCF_020488375.1	ASM2048837v1	Erwinia phage pEa_SNUABM_17	263916	330	330	
GCF_020488475.1	ASM2048847v1	Erwinia phage pEa_SNUABM_33	263237	340	340	
GCF_020495955.1	ASM2049595v1	Erwinia phage AH04	262639	295	294	
GCF_020488485.1	ASM2048848v1	Erwinia phage pEa_SNUABM_35	261719	336	336	
GCF_006863975.1	ASM686397v1	Aeromonas phage LAh10	260310	228	228	
GCF_007051205.1	ASM705120v2	Aeromonas phage D6	259831	270	267	
